,link,date,tags,author,difficult,title,desc,text
0,https://nplus1.ru/news/2021/12/03/japanmissiles,14:33 03 Дек. 2021 ,Оружие ,Василиса Чернявцева,2.8,Японцы вооружатся крылатыми ракетами дальностью более тысячи километров,idk,"
Japan Ground Self-Defense Force

Японские военные планируют вооружиться крылатыми ракетами с дальностью более тысячи километров. Как сообщает Nikkei, разработкой этих боеприпасов займется Mitsubishi Heavy Industries. Их можно будет запускать с земли, боевых самолетов и кораблей. 
Сейчас на вооружении у Японии стоят ракеты, способные поражать цели на расстоянии 100-200 километров. Тем временем, ракетная программа его ближайших соседей — Китая и Южной Кореи — не стоит на месте. Сеул в мае отменил положение об ограничении дальности баллистических ракет до 800 километров. А Китай увеличил число баллистических ракет средней дальности, достигающих Японии и Гуама. Даже у Северной Кореи есть ракеты с дальностью более тысячи километров, одну из которых она испытала в сентябре. 
До недавнего времени японские военные придерживались мнения, что смогут сбить атакующие ракеты. Но власти сменили стратегию, и премьер-министр Фумио Кисида положительно относится к возможности атаковать противников на их территории. 
Газета Nikkei 1 декабря сообщила, что Токио планирует ко второй половине 2020-х вооружиться крылатыми ракетами дальностью более тысячи километров. Их разработает концерн Mitsubishi Heavy Industries. Предполагается, что новые боеприпасы можно будет запускать с земли, боевых самолетов и кораблей. 
Министерство обороны Японии приступило к созданию наземной версии ракеты. Ее должны испытать к 2025 финансовому году. В 2022 финансовом году японские военные собираются приступить к тестированию авиационных и корабельных прототипов, испытания которых планируется завершить в 2026 и 2028 годах. 
Япония также уже несколько лет разрабатывает гиперзвуковую противокорабельную ракету, а в прошлом году занялась созданием гиперзвукового противокорабельного планера. Она ведет несколько территориальных споров с соседями, и перспективное вооружение должно помочь ей им противостоять.
Василиса Чернявцева
"
1,https://nplus1.ru/news/2021/12/03/tenet-of-sound,13:42 03 Дек. 2021 ,Физика ,Марат Хамадеев,2.2,Обращенный во времени звук прицельно сбил LEGO-человечков,idk,"
Brian Anderson / Youtube
Американские физики придумали и изготовили игру, в которой нужно сбивать LEGO-фигурки противника с помощью точечной фокусировки обращенных во времени акустических волн. Для обращения волн они записывали их профиль распространения, после чего повторяли его в инвертированном порядке. Подробнее об игре и о лежащей в ее основе физике один из авторов рассказал на 181 собрании Американского акустического общества, о работе говорится в сообщении ASA.
Если бросить в воду камень, то по ее поверхности побегут расходящиеся круги. Уносить и рассеивать энергию от точечного источника в пространство — это общее свойство всех волн, не только поверхностных. Этот процесс обратен фокусировке, когда каким либо образом волны сводятся обратно в точку. Хрестоматийным примером фокусировки волн стали собирающие линзы. В простейшем случае они перенаправляют свет, звук или волны материи с некоторого участка волнового фронта в точку пространства, определяемую их фокусным расстоянием. Помимо того, что линзы могут сфокусировать не все излучение, к их недостаткам можно отнести отсутствие когерентности в фокусе.
Другим способом фокусировки стало обращение волн во времени. Действительно, поскольку законы распространения волн, как правило, инвариантны относительно такой инверсии, то всегда можно создать в пространстве особые волны, которые сами сойдутся в некоторой точке. Это будет похоже на обратную съемку процесса испускания волн точечным источником. Метод впервые был предложен в 60-х годах прошлого века для подводного сообщения между подлодками и с тех пор нашел ряд приложений в медицине.
Для его наглядной демонстрации Брайан Андерсон (Brian Anderson) из Университета Бригама Янга со своей командой придумали игру для двух игроков. Цель игры — фокусируя акустические волны на поверхности игрового поля, опрокинуть все фигурки LEGO противника, не задевая свои. Стенд с игрой установлен в музее Швейцарской высшей технической школы Цюриха в рамках выставки, посвященной всевозможным волнам.
Перед физиками стояла задача сделать так, чтобы волны, испущенные источником из точки A, когерентно сфокусировались в точке B. Для этого они сначала создают обычный точечный импульс в А и записывают то, каким образом он достигает точки B, в течение некоторого времени. Затем они полностью инвертируют измеренный профиль и на его основе воссоздают в точке А обращенную волну. При неизменности геометрии среды в точку B через выбранное время приходит точечный когерентный импульс.

Помимо развлекательной цели эта технология помогает селективно разрушать камни в почках или опухоли в мозге без хирургического вмешательства. Андерсон отмечает, что таким способом ему уже удалось обнаруживать в ультразвуковом диапазоне трещины и дефекты в металлических контейнерах для хранения отработанного ядерного топлива. Обращение звуковых волн может быть также использовано для определения источника землетрясения и даже для локализации местоположения выстрелов в условиях городской среды.
Акустические волны в последние годы все чаще используется физиками как мощный инструмент для измерений и манипуляций на самых разных масштабах. Мы уже писали, как грохот поездов предложили использовать для зондирования земной коры и как звук помог управлять электронами на поверхности жидкого гелия.
Марат Хамадеев
"
2,https://nplus1.ru/news/2021/12/03/adenovirus-thrombosis,13:31 03 Дек. 2021 ,Медицина ,Анастасия Кузнецова-Фантони,3.2,Медики разобрались в причинах тромбоза после введения векторных вакцин,idk,"Комплекс PF4 и аденовируса шимпанзе
Baker et al. / Science Advances, 2021
Американские медики выяснили, что аденовирус шимпанзе и человеческие аденовирусы, которые используют в вакцинах в качестве вектора, могут связываться с тромбоцитарным цитокином PF4. Дальше, по мнению ученых, иммунная система путает PF4 с чужеродным аденовирусом и вырабатывает против него антитела, которые и вызывают тромбозы. Исследование опубликовали в Science Advances.
Коронавирусная вакцина, разработанная AstraZeneca, используется во многих странах Европы с конца 2020 года. После начала прививочной кампании этим препаратом у некоторых вакцинированных стали возникать тромбозы, сопровождавшиеся падением уровня тромбоцитов. Европейское агентство лекарственных средств впоследствии признало тромбозы редким побочным эффектом препарата AstraZeneca, а затем и вакцины от Johnson&Johnson. Тромбозы также зарегистрировали у двух аргентинцев после введения «Спутника V» – об этом сообщается в докладе Министерства здравоохранения Аргентины за октябрь 2021 года.
Симптомы этих тромбозов напоминали гепарин-индуцированную тромбоцитопению, когда после введения антикоагулянта гепарина начинают вырабатываться антитела против его комплекса с PF4 (тромбоцитарным цитокином, способствующим свертыванию крови). Эти антитела активируют тромбоциты с формированием тромбов, и количество тромбоцитов снижается. Сразу две научные группы описали такие антитела у людей, привившихся препаратом AstraZeneca и столкнувшихся с тромбозами. Ученые назвали состояние вакциноиндуцированной иммунной тромботической тромбоцитопенией (vaccine-induced immune thrombotic thrombocytopenia, VITT).
Теперь группа исследователей под руководством Александра Бэйекра (Alexander T. Baker) из Клиники Мэйо помогла понять, почему именно образуются патологические антитела. Медики исследовали аденовирусы, которые в коронавирусных вакцинах используются как векторы. Они изучили аденовирус шимпанзе Y25 (используется в препарате AstraZeneca), человеческие аденовирусы 26 и 5 типа (используются в вакцине «Спутник V» и Jannsen от Johnson&Johnson) и обнаружили, что все три аденовируса могут связываться с PF4 (константы диссоциации 661 наномоль, 789 наномоль и 301 наномоль соответственно). Чем ниже константа, тем сильнее связь.

Аффинность связывания PF4 у разных аденовирусов
Baker et al. / Science Advances, 2021
В материале «Страдания неизбежны» мы собрали для вас ответы на частые вопросы о побочных эффектах коронавирусных вакцин.
Анастасия Кузнецова-Фантони
"
3,https://nplus1.ru/news/2021/12/03/gj-367-b,13:20 03 Дек. 2021 ,Астрономия ,Александр Войтюк,3.9,Астрономы нашли субземлю с огромным железным ядром,idk,"
PATRICIA KLEIN / SPP 1992
Астрономы открыли новую субземлю с ультракоротким периодом. GJ 367b вращается вокруг красного карлика и при размерах сопоставимых с Марсом, может обладать огромным железным ядром, поэтому строение у нее скорее как у Меркурия. Статья опубликована в журнале Science.
Экзопланеты с ультракоротким периодом характеризуются орбитальным периодом менее одного земного дня. Чаще всего это небольшие (радиус менее двух земных) планеты, происхождение которых до сих пор остается предметом споров у астрономов. В частности, считается, что подобные объекты могли образоваться в результате миграции планет по системе, а не изначального формирования вблизи звезды, и могут быть ядрами мини-нептунов. Чтобы понять, какие теоретические модели формирования и эволюции таких планет верны, ученым необходим большой объем данных наблюдений за экзопланетами с ультракороткими периодами, дающих точные значения их масс и радиусов.
Группа астрономов во главе с Кристиной Лам (Kristine W. F. Lam) из Института планетарных исследований Германского аэрокосмического центра сообщила об открытии новой экзопланеты с ультракоротким периодом GJ 367b, которая была классифицирована как субземля. Первоначально планету обнаружил в 2019 году космический телескоп TESS при помощи метода транзитной фотометрии, а спектрограф HARPS, установленный на 3,6-метровом телескопе в обсерватории Ла-Силья, помог подтвердить открытие и определить основные свойства экзопланеты при помощи метода радиальных скоростей.
Родительской звездой GJ 367b является яркий красный карлик с массой 0,45 массы Солнца, радиусом 0,45 радиуса Солнц и светимостью всего 0,028 светимости Солнца. Она находится на расстоянии 31 световой год от Земли. Вокруг светила, с периодом 7,7 часа, обращается экзопланета с радиусом 0,718 радиуса Земли и массой 0,546 массы Земли. Это дает значение объемной плотности планеты 8,106 грамм на кубический сантиметр, что близко к плотности железа. Температура на дневной стороне планеты оценивается в 1745 кельвин, что подразумевает испарение любой первичной атмосферы.
Ученые пришли к выводу, что лучше всего свойства GJ 367b описывает модель, в которой планета состоит из железного ядра, радиус которого составляет 86 процентов от радиуса планеты, оболочки из водяного льда и/или водорода и гелия, на которую приходится 10 процентов радиуса планеты, и силикатной мантии. Таким образом, планета, при размерах, сопоставимых с Марсом, обладает строением, схожим с Меркурием. 
TESS не впервые находит планеты с ультракоротким орбитальным периодом — ранее мы рассказывали об открытии двух суперземель и ультрагорячего нептуна.
Александр Войтюк
"
4,https://nplus1.ru/news/2021/12/03/stingray,12:59 03 Дек. 2021 ,Оружие Роботы и дроны ,Василиса Чернявцева,2.1,Палубный беспилотник-заправщик доставили на авианосец для испытаний,idk,"
NAVAIR
Прототип палубного беспилотника-заправщика MQ-25 Stingray прибыл на первый этап испытаний на авианосце. Как сообщает Командование авиационных систем ВМС США, они пройдут на борту «Джорджа Буша». 
Разработкой MQ-25 Stingray с 2018 года занимается концерн Boeing. Это беспилотник, выполненный по классической самолетной схеме с трапециевидным в сечении фюзеляжем и крылом нормальной стреловидности. У его килей большие углы наклона, поэтому в полете они работают и как горизонтальные стабилизаторы. 
Сопло двигателя MQ-25 плоское, что делает его менее заметным в радиолокационном и инфракрасном спектрах. Хотя в целом американские военные решили не уделять особое внимание малозаметности палубного беспилотника.  
Прошлой зимой Boeing провел летные испытания MQ-25 с заправочным оборудованием и проверил, как оно влияет на аэродинамику летательного аппарата. А в июне беспилотник впервые дозаправил в воздухе самолет — истребитель F/A-18 Super Hornet. В августе и сентябре Stingray снова испытали воздушной дозаправкой. Он передал топливо летающему радару E-2D Advanced Hawkeye и истребителю F-35C. 
Командование авиационных систем ВМС США 2 декабря сообщило, что прототип беспилотника-заправщика прибыл на авианосец «Джордж Буш», чтобы приступить к первому этапу испытаний на палубе. Пока речь не идет о полетах. Сначала военные оценят, как интегрировать Stingray на борт авианосца и проверят его функционирование. Например, их интересует, как ведет себя двигатель беспилотника, когда ветер со скоростью 25 узлов дует со всех направлений. 

Кроме беспилотника-заправщика Boeing разрабатывает самолет-заправщик KC-46A Pegasus. Этим летом ему разрешили применять систему «шланг-конус» под центропланом и штангу в ограниченном режиме. 
Василиса Чернявцева
"
5,https://nplus1.ru/news/2021/12/03/equids-stone-artefacts,12:27 03 Дек. 2021 ,Археология Зоология ,Михаил Подрезов,3.2,Лошадей и ослов заподозрили в «подделке» артефактов олдувайской культуры,idk,"Расколотые ослами и лошадью булыжники из кремня и кварца
Santiago Dominguez-Solera et al. / Journal of Archaeological Science: Reports, 2021
Испанские археологи провели эксперимент, в ходе которого подложили булыжники из кварца и кремня трем ослам и одной лошади, и выяснили, что они могут разбивать их копытами на осколки, которые схожи с артефактами олдувайской культуры. Это накладывает дополнительные ограничения на ученых, так как лошадиные и гоминины повсеместно проживали бок о бок — возможно, некоторые осколки, которые археологи приняли за орудия, на самом деле были просто обломками камней, разбитых копытными. Результаты исследования опубликованы в Journal of Archaeological Science: Reports.
Около 2,6 миллиона лет назад началась самая продолжительная эпоха в истории человечества — палеолит, которая связана с началом изготовления гомининами самых примитивных каменных орудий. Они относятся к так называемой олдувайской (олдованской) археологической культуре, которая названа в честь первых находок, сделанных в ущелье Олдувай в Танзании. Самые древние каменные орудия, которые известны на сегодня, были обнаружены в Эфиопии — памятники Гона (2,7–2,5 миллиона лет назад), Омо (2,5–2,4 миллиона лет назад), Хадар (2,5 миллиона лет назад), а также в местонахождениях в Кении, Танзании и Демократической Республике Конго. Кроме того, в Кении нашли древнейшие каменные орудия возрастом около 3,3 миллиона лет, то есть связанные еще с австралопитеками (Australopithecus), но ряд исследователей критически относится к этому открытию.
Однако отличить древнейшие каменные орудия от эолитов, то есть от псевдоорудий, порой не просто. Основным признаком того, что отщеп был сделан рукой гоминина, а не образовался в результате действия природных факторов, выступает специфическая огранка его наружной поверхности. Кроме того, ученые обнаружили, что чернополосые капуцины (Sapajuus libidinosus), обитающие в Бразилии, не только пользуются камнями, разбивая плоды масличной пальмы и раковины моллюсков, но и преднамеренно раскалывают сами камни. Это накладывает на археологов дополнительные ограничения.


Santiago Dominguez-Solera et al. / Journal of Archaeological Science: Reports, 2021
Исследователи отметили, что животных держали в открытом вольере, занимающем участок площадью около одного гектара. На территории находились известняковые породы, которые ранее были разбиты ослами. После того, как ученые подтвердили, что эти породы действительно разбивают животные, они провели эксперимент, в котором подложили ослам и лошади по 12 булыжников из кварцита и кремня. Они были схожи с теми породами, что использовали гоминины олдувайской культуры.
В ходе эксперимента, длившегося 52 часа, ученые обнаружили, что ослы и лошадь били копытами об камни. В результате пять булыжников оказались сломаны. Из них получилось 37 каменных «артефактов», в том числе 15 целых и 6 сломанных отщепов, а также пять «нуклеусов». Наблюдения за животными продолжились в течение последующих четырех месяцев, в ходе которых исследователи зафиксировали, что разрушения породы были следствием как преднамеренного обтачивания копыт, так и в результате случайных ударов.
Исследование показало, что полученные в результате деятельности животных «артефакты» очень похожи на каменные орудия, которые изготавливали гоминины олдувайской культуры. Эти предметы похожи на те, что получаются при ударах молотком по нуклеусу, лежащему на наковальне. Ученые пришли к выводу, что не только обезьяны-капуцины могут раскалывать камни, которые можно принять за те, что сделали гоминины, но и представители семейства лошадиных. Это особенно важно, учитывая, что Equidae повсеместно присутствовали в ландшафтах, населенных гомининами, поэтому отдельные находки каменных орудий могут требовать повторного исследования.
Ранее на N + 1 рассказывали о других исследованиях каменных орудий. Так, археологи раскритиковали статью о древнейшей стоянке человека в Мексике. Кроме того, итальянские ученые обнаружили, что неандертальцам приглянулись зеленые камешки для изготовления орудий.
Михаил Подрезов
"
6,https://nplus1.ru/news/2021/12/03/bronze-age-hoards,12:17 03 Дек. 2021 ,Археология ,Михаил Подрезов,2.1,Девочка-подросток нашла на английской ферме клад с боевыми топорами бронзового века,idk,"Девочка-подросток обнаружила на ферме в графстве Хартфордшир клад из 65 бронзовых боевых топоров, после чего исследователи с металлоискателями и археологи раскопали неподалеку еще один. В общей сложности ученые собрали около 200 артефактов бронзового века, которые относятся примерно к 1300 году до нашей эры. Об обнаруженных кладах сообщает BBC.
В эпоху поздней бронзы в Центральной Европе сложилась общность культур полей погребальных урн (урнопольская культура). Свое название она получила благодаря многочисленным могильникам, которые насчитывали сотни, а иногда и тысячи погребений. Как правило, кремированные останки своих умерших эти племена хоронили в урнах, реже – по обряду ингумации в каменных и прочих конструкциях. Одна из ярких черт урнопольской культуры – это многочисленные богатые клады из преимущественно бронзовых предметов, в том числе боевых топоров. Нередко их находят в водоемах, например, в болотах. Примечательно, что такие предметы часто недоделаны или намеренно поломаны.
Схожие находки известны и в культурах атлантического бронзового века, которые существовали примерно в 1300–700 годах до нашей эры в Великобритании, Ирландии, Франции и на Пиренейском полуострове. Так, предметы этих культур часто встречаются в виде кладов, закопанных в ритуальных местах. Например, еще в 1965 году английском графстве Кембриджшир обнаружили Айлхемский клад из 6500 бронзовых предметов, включая мечи, наконечники копий, топоры и кинжалы.

Бертонский клад бронзового века (около 1300 года до нашей эры), обнаруженный в Уэльсе в 2002 году
Wikimedia Commons
Другие исследователи с металлоискателями обнаружили неподалеку еще один клад, который очень похож на тот, что нашла Милли. На место находок были вызваны археологи из Совета графства Кембриджшир и Оксфордского университета. Местный чиновник Лорна Дюпре (Lorna Dupre) отметила, что в общей сложности было найдено порядка 200 артефактов, которые будут рассмотрены в рамках Закона о сокровищах.
Находки включают множество недоделанных предметов, например, два вида топоров, слитки и фрагменты лезвий, которые были изготовлены из медного сплава. По данным ученых, артефакты относятся примерно к 1300 году до нашей эры. Сейчас их передали в Британский музей для исследований. Милли отметила, что она планирует теперь каждые выходные гулять со своим отцом в надежде найти еще один клад.
Не только дети способны отыскать древний клад, но и животные. Так, на севере Чехии собака нашла клад бронзового века, который включал более 20 предметов урнопольской культуры. Кроме того, подробно узнать о самом большом кладе бронзового века, обнаруженном в Великобритании, можно в нашем материале «Много топоров, бритва, щипчики для волос: быт британцев бронзового века».
Михаил Подрезов
"
7,https://nplus1.ru/material/2021/12/03/externalized-memory,14:41 03 Дек. 2021 ,Партнерский материал Биология ,Дмитрий Левин,3.3,"Память в коробке
Можно ли уместить жизненный опыт на жестком диске",idk,"
                                Человека определяет не только набор генов, доставшийся ему от родителей. Никто из нас не был бы самим собой, если бы не наш жизненный опыт — то, с кем мы росли, что видели, какие книги читали. Фантасты давно мечтают о переносе человеческого сознания в другое тело или на машинный носитель. Но мало кто из них всерьез пытался подсчитать, какой объем информации при этом нужно скопировать. В совместном проекте с компанией Western Digital мы постарались оценить, сколько жестких дисков смогут вместить все ваши воспоминания. В конце статьи вы найдете калькулятор, который поможет выполнить такой расчет. 
                            
Самую разную информацию можно представить в цифровой форме. Для этого ее нужно дискретизировать, то есть разбить на конечный набор фрагментов, и поставить каждому фрагменту в соответствие некое числовое значение. Чем больше этих значений, тем с большей точностью можно восстановить исходную информацию.
В фильме «Джонни-мнемоник» главный герой записывает себе в мозг 320 гигабайт информации — по сюжету это запредельный объем, который представляет угрозу для жизни. Возможно, в 1995 году, когда вышел фильм, такое число и казалось впечатляющим, однако сегодня оно вызывает лишь снисходительную улыбку. Но насколько корректно в принципе сравнивать возможности запоминающих устройств компьютера и человеческого мозга?
Вероятно, иллюзию их сходства создает то, что в обоих случаях мы используем слово «память». Оно вошло в обиход еще на заре вычислительной техники, когда его предложил Джон фон Нейман — венгеро-американский физик и математик, соавтор общепринятой сегодня архитектуры компьютеров с совместным хранением программ и данных в памяти. Вторая половина 1940-х годов была временем больших ожиданий. Многие ученые надеялись, что успехи в создании первых ЭВМ позволят быстро разобраться и в тонкостях устройства человеческого разума. В знаменитой «Кибернетике» Норберта Винера можно встретить утверждения, что синапсы мозга в точности подобны устройствам вычислительных машин, а идеальным средством для воссоздания нейронных сетей являются вакуумные лампы.
Норберт Винер (1894–1964) в аудитории MIT рядом с трехколесной тележкой, способной имитировать поведение мотылька и клопа, 1949 год.
Даже если заменить архаичные лампы на современные транзисторы, едва ли нынешние нейрофизиологи согласятся с этими оптимистическими, но довольно наивными предположениями. По прошествии семидесяти лет, имея компьютеры, в миллиард раз более мощные, чем во времена Винера и фон Неймана, мы все равно не можем воспроизвести в «железе» сколько-нибудь существенную часть человеческого мозга.
Довольно быстро выяснилось, что сходство между компьютером и мозгом — очень поверхностное. Они слишком разные, чтобы эффективно заменять друг друга: в одних задачах компьютеры давно превзошли умнейших из людей, в других — пасуют там, где справится и ребенок. Но в чем компьютеры точно опередили нас, так это во всем, что связано с запоминанием. Они способны сохранять немыслимые для человека объемы информации, многократно воспроизводить и передавать ее без малейших искажений, осуществлять по ней эффективный поиск.
Память вычислительной машины — это максимально конкретизированная система, про которую в каждый момент времени можно сказать, что и где в ней записано. Ваш компьютер точно знает, в каких именно из миллиардов его запоминающих ячеек хранятся биты информации, определяющие цвет пикселя, на который сейчас указывает курсор вашей мыши, — впрочем, как и любого другого.
Человеческая память в сравнении с компьютерной кажется царством хаоса и распада. Мы с трудом удерживаем в уме телефонный номер, который только что прочитали, и забываем имена гостей, которых нам представили пять минут назад. Долговременные воспоминания с годами теряют детали, искажаются или вовсе пропадают. И даже если где-то в глубинах памяти они и сохранились, как же трудно порой бывает их оттуда извлечь!
Способов локализовать конкретные воспоминания в памяти сегодня просто не существует. Ни один нейрофизиолог, даже вооруженный самым совершенным томографом, не сможет вам сказать, что вон в том нейроне вашего мозга записана первая нота «Оды к радости», а вот в этом (и никак не в соседнем!) — последняя буква фамилии вашей бабушки.
Все это крайне осложняет решение стоящей перед нами задачи — количественно оценить жизненный опыт человека. В случае с компьютером мы можем измерить, с какой скоростью он получает и записывает новую информацию. Но нет такого прибора, который бы измерил, сколько информации в единицу времени получает человек, и тем более — какую ее часть он запоминает. Нужно ли считать, что люди с хорошим зрением видят больше, чем близорукие или дальнозоркие? Верно ли, что обладатели музыкального слуха извлекают из звука нечто недоступное тем, кому на ухо наступил медведь? Да и каково вообще «разрешение» органов чувств, которыми нас наделила природа?
Если попытаться поставить знак равенства между сетчаткой глаза и КМОП-матрицей с определенным количеством мегапикселей, можно прийти к неожиданным выводам. Субъективно нам кажется, что мы видим мир куда яснее, чем это способен передать даже самый лучший фотоаппарат. Но в действительности сетчатка нашего глаза имеет высокую разрешающую способность лишь на небольшом центральном участке, а вне его границ мы видим размытые контуры и приблизительные цвета. Чтобы как следует разглядеть все, что попадает в поле зрения, нам приходится совершать множество движений глазами, как бы «сканируя» объекты. Мозг запоминает увиденное и «дорисовывает» картинку в тех местах, которые мы видим недостаточно четко. В этом смысле фотоаппараты и видеокамеры, которые могут с одинаковой детализацией фиксировать все поле изображения, давно оставили человеческий глаз позади.

 Срез сетчатки человека. Колбочки S-типа, чувствительные к коротковолновой части спектра, окрашены в зеленый, а колбочки L-типа, чувствительные к длинным волнам, — в красный.

Попробуем подойти к проблеме с другой стороны. Ученые-когнитивисты сегодня говорят об экстернализации автобиографических воспоминаний, то есть о делегировании функций нашей памяти гаджетам, которые могут хранить за нас тексты, фотографии, видеозаписи и т. п. Существуют исследования, показывающие, что мы запоминаем меньше, если фотографируем то, на что смотрим.
Переформулируем вопрос, который мы поставили в начале текста: сколько получилось бы информации, если бы мы фиксировали все происходящее вокруг с помощью встроенного видеорегистратора?
Здесь можно возразить, что человек получает не только аудиовизуальную информацию.  Есть еще обоняние, осязание, анализ положений частей тела, температурные, вестибулярные сигналы. Мы сознательно исключаем их из рассмотрения, поскольку у нас пока нет устройств, которые бы позволяли их хорошо записывать и воспроизводить. К тому же еще со времен Аристотеля именно зрение и слух считаются важнейшими из чувств.
Чтобы подсчитать, сколько данных сохранил бы воображаемый видеорегистратор за время вашей жизни, сначала необходимо договориться о качестве записи.
Полагаем, что в 2021 году большинство людей устроит разрешение видео 4K (3840 × 2160 пикселей). Для плавности движений выберем частоту 60 кадров в секунду. Звук будем писать двухканальный, с частотой дискретизации 48 кГц. Это обеспечит точное воспроизведение сигналов, имеющих частоту до 24 кГц — достаточный запас, учитывая, что большинство людей не слышит звуки выше 18 кГц. Разрядность можно также выбрать избыточную — 24 бита. Это почти 17 миллионов возможных уровней громкости (хотя эксперименты показывают, что люди не различают на слух записи с разрядностью 16 и 24 бита).
Пример оцифровки одного и того же сигнала с разной частотой дискретизации (вверху) и с разной глубиной квантования (внизу). Оба этих параметра влияют на качество звука, но нет смысла наращивать их выше значений, определяемых возможностями аппаратуры и человеческого слуха.
Как и в реальной технике, информацию мы будем записывать с использованием алгоритмов сжатия. Современный кодек VP9 способен сжать поток видео 4K 60 fps до 20-80 Мбит/с в зависимости от качества. Выберем 50 Мбит/с как значение, при котором потери практически незаметны на глаз. Это означает, что 1 секунда видео будет занимать на диске 6,25 МБ.
Информация о звуке потребует намного меньше места. Его можно было бы писать и в «сыром» виде (в формате WAV), но предположим, что мы используем кодек сжатия без потерь типа FLAC, который уменьшает объем звуковой дорожки примерно вдвое. Это тоже оценка сверху: в реальности значительную часть времени нас окружают тихие и монотонные звуки, которые в записи сжимаются гораздо эффективнее.
Итого получаем, что каждая секунда жизни в нашем мысленном эксперименте эквивалентна 6,4 МБ аудиовизуальной информации. Такой поток данных может передавать даже не самый современный 100-мегабитный сетевой канал.
Каждый час на воображаемом диске сохраняется 22,5 ГБ информации (на всякий случай уточним, что мы считаем в «двоичных» величинах: 1 ГБ — это 1024 МБ). Если принять время бодрствования за 16 часов, получим, что за год накапливается 128 с небольшим терабайт. Среднему россиянину, по данным статистики, чуть больше 40 лет. Итого получаем величину порядка 5100 ТБ.
Представить ее себе довольно сложно: в повседневной жизни мы не сталкиваемся с такими объемами информации. Нужен какой-то понятный эквивалент для сравнения. Возьмем самый вместительный жесткий диск, который сегодня имеется в продаже, — WD Gold 18TB с перпендикулярной магнитной записью (CMR). В нем 9 пластин емкостью 2 ТБ каждая — это значит, что в среднем воспоминания нашего соотечественника, сохраненные в качестве 4K, займут около 290 таких дисков.
Недавно Western Digital сообщила, что начинает поставки еще более емких дисков —  WD Gold 20TB. Внутри — передовые технологии: блок флеш-памяти для хранения расширенных метаданных (OptiNAND), трехступенчатый привод (TSA), энергосберегающая магнитная запись (EAMR) и заполнение внутреннего объема гелием (HelioSeal®). Все это обеспечивает непревзойденную емкость при низком энергопотреблении.
Мы написали калькулятор, который выполнит такой расчет персонально для вас — с учетом возраста и некоторых индивидуальных особенностей. Не относитесь к результатам слишком серьезно: разумеется, ни жизненный опыт, ни тем более личность человека не сводится к набору байтов на жестком диске. Однако это повод задуматься о том, что каждый из нас может оставить после себя — и как сделать так, чтобы наши воспоминания хотелось пересматривать раз за разом, словно хороший фильм.
Алексей Бутырин
"
